address	price	Bedrooms	Bath	Lot Size	Property Age	Gross Taxes for 2020	Area	Sub-Area/Community	Property Type	Title	Style																	
804 1616 Bayshore Drive	"$1,680,000"	2	2	Built in 2006 (14 yrs old)	"$5,038"	$774	Vancouver West	Coal Harbour	Apt/Condo	Freehold Strata	Corner Unit																	
4301 1189 Melville Street	"$8,880,000"	4	6	Built in 2007 (13 yrs old)	"$69,212"	"$3,441"	Vancouver West	Coal Harbour	Apt/Condo	Freehold Strata	Penthouse																	
503 1499 W Pender Street	"$1,465,000"	2	3	Built in 2011 (9 yrs old)	"$3,862"	$870	Vancouver West	Coal Harbour	Apt/Condo	Freehold Strata	"2 Storey,Corner Unit"																	
2203 1188 W Pender Street	"$849,900"	1	1	Built in 2008 (12 yrs old)	"$2,420"	$348	Vancouver West	Coal Harbour	Apt/Condo	Freehold Strata	Other																	
607 323 Jervis Street	"$2,988,000"	2	2	Built in 2002 (18 yrs old)	"$6,495"	$759	Vancouver West	Coal Harbour	Apt/Condo	Freehold Strata	Corner Unit																	
3403 1189 Melville Street	"$1,899,000"	3	3	Built in 2007 (13 yrs old)	"$6,565"	"$1,026"	Vancouver West	Coal Harbour	Apt/Condo	Freehold Strata	1 Storey																	
3105 1211 Melville Street	"$1,409,000"	2	2	Built in 2008 (12 yrs old)	"$4,421"	$646	Vancouver West	Coal Harbour	Apt/Condo	Freehold Strata	"End Unit,Upper Unit"																	
1807 1189 Melville Street	"$899,000"	1	1	Built in 2007 (13 yrs old)	"$2,212"	$433	Vancouver West	Coal Harbour	Apt/Condo	Freehold Strata	Upper Unit																	
Th18 1281 W Cordova Street	"$4,388,000"	3	3	Built in 2004 (16 yrs old)	"$17,032"	$0	Vancouver West	Coal Harbour	Townhouse	Freehold Strata	"3 Storey,Corner Unit"																	
602 277 Thurlow Street	"$6,150,000"	2	3	Built in 2012 (8 yrs old)	"$23,613"	"$1,239"	Vancouver West	Coal Harbour	Apt/Condo	Freehold Strata	Corner Unit																	
602 620 Cardero Street	"$3,480,000"	3	3	Built in 2020 (0 yrs old)	"$5,862"	"$1,016"	Vancouver West	Coal Harbour	Apt/Condo	Freehold Strata	Corner Unit																	
1603 1650 Bayshore Drive	"$3,299,000"	2	3	Built in 2006 (14 yrs old)	"$8,619"	"$1,180"	Vancouver West	Coal Harbour	Apt/Condo	Freehold Strata	"Corner Unit,End Unit"																	
404 1650 Bayshore Drive	"$2,379,000"	2	2	Built in 2003 (17 yrs old)	"$5,456"	$946	Vancouver West	Coal Harbour	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
1202 1499 W Pender Street	"$2,488,000"	2	3	Built in 2011 (9 yrs old)	"$6,317"	"$1,201"	Vancouver West	Coal Harbour	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
1202 1499 W Pender Street	"$2,488,000"	2	3	Built in 2011 (9 yrs old)	"$6,317"	"$1,201"	Vancouver West	Coal Harbour	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
804 1790 Bayshore Drive	"$1,928,000"	2	2	Built in 1997 (23 yrs old)	"$4,643"	$778	Vancouver West	Coal Harbour	Apt/Condo	Freehold Strata	Corner Unit																	
3002 1011 W Cordova Street	"$3,998,000"	2	3	Built in 2010 (10 yrs old)	"$12,401"	"$1,392"	Vancouver West	Coal Harbour	Apt/Condo	Freehold Strata	Upper Unit																	
3801 1211 Melville Street	"$8,980,000"	2	4	Built in 2009 (11 yrs old)	"$25,192"	"$1,913"	Vancouver West	Coal Harbour	Apt/Condo	Freehold Strata	"2 Storey,Penthouse"																	
1101 183 Keefer Place	"$699,900"	2	1	Built in 1996 (24 yrs old)	"$1,752"	$427	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
2603 188 Keefer Place	"$1,148,000"	2	2	Built in 2009 (11 yrs old)	"$2,785"	$486	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Corner Unit																	
310 58 Keefer Place	"$688,000"	1	1	Built in 2007 (13 yrs old)	"$1,700"	$311	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	"Corner Unit,Inside Unit"																	
3102 1283 Howe Street	"$788,000"	1	1	Built in 2018 (2 yrs old)	"$2,121"	$293	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Corner Unit																	
2101 1325 Rolston Street	"$899,000"	2	2	Built in 2013 (7 yrs old)	"$2,592"	$469	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Corner Unit																	
2508 777 Richards Street	"$699,000"	1	1	Built in 2016 (4 yrs old)	"$2,028"	$433	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	"1 Storey,Upper Unit"																	
2404 1188 Howe Street	"$774,900"	2	2	Built in 1994 (26 yrs old)	"$2,232"	$410	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Upper Unit																	
1605 1308 Hornby Street	"$549,000"	1	1	Built in 2014 (6 yrs old)	"$1,595"	$213	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Other																	
5006 777 Richards Street	"$3,500,000"	2	3	Built in 2016 (4 yrs old)	"$7,221"	"$1,168"	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
3702 833 Seymour Street	"$1,999,000"	2	2	Built in 2011 (9 yrs old)	"$3,721"	$753	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Corner Unit																	
2003 999 Seymour Street	"$979,900"	2	1	Built in 2014 (6 yrs old)	"$2,270"	$375	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	1 Storey																	
3010 833 Seymour Street	"$675,000"	1	1	Built in 2011 (9 yrs old)	"$1,910"	$316	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Upper Unit																	
2803 438 Seymour Street	"$808,888"	2	2	Built in 1996 (24 yrs old)	"$2,154"	$522	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Upper Unit																	
2503 183 Keefer Place	"$998,000"	2	2	Built in 1996 (24 yrs old)	"$2,554"	$565	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
1101 183 Keefer Place	"$699,900"	2	1	Built in 1996 (24 yrs old)	"$1,752"	$427	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
301 1189 Howe Street	"$589,000"	1	1	Built in 1999 (21 yrs old)	"$1,448"	$423	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Inside Unit																	
802 789 Drake Street	"$699,000"	1	1	Built in 1991 (29 yrs old)	"$1,523"	$389	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Corner Unit																	
2603 188 Keefer Place	"$1,148,000"	2	2	Built in 2009 (11 yrs old)	"$2,785"	$486	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Corner Unit																	
202 535 Smithe Street	"$789,000"	1	1	Built in 2010 (10 yrs old)	"$2,277"	$359	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Other																	
503 183 Keefer Place	"$649,000"	1	1	Built in 1996 (24 yrs old)	"$1,633"	$420	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	1 Storey																	
2207 999 Seymour Street	"$988,000"	2	1	Built in 2015 (5 yrs old)	"$2,297"	$372	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Corner Unit																	
1302 1133 Hornby Street	"$1,020,000"	2	2	Built in 2018 (2 yrs old)	"$2,800"	$439	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
2803 1189 Howe Street	"$1,199,000"	3	2	Built in 2000 (20 yrs old)	"$3,332"	$806	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
2603 188 Keefer Place	"$1,148,000"	2	2	Built in 2009 (11 yrs old)	"$2,785"	$486	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Corner Unit																	
5006 777 Richards Street	"$3,500,000"	2	3	Built in 2016 (4 yrs old)	"$7,221"	"$1,168"	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
2001 183 Keefer Place	"$799,900"	2	1	Built in 1996 (24 yrs old)	"$1,831"	$427	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	"Corner Unit,Upper Unit"																	
304 233 Abbott Street	"$549,000"	0	1	Built in 1911 (109 yrs old)	"$1,628"	$330	Vancouver West	Downtown West	Townhouse	Freehold Strata	"Loft/Warehouse Conv.,Upper Unit"																	
1205 789 Drake Street	"$899,000"	2	2	Built in 1991 (29 yrs old)	"$1,881"	$416	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	1 Storey																	
1110 501 Pacific Street	"$579,000"	0	1	Built in 1999 (21 yrs old)	"$1,548"	$337	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	"Inside Unit,Upper Unit"																	
508 833 Homer Street	"$799,800"	1	1	Built in 2010 (10 yrs old)	"$2,045"	$424	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	1 Storey																	
1107 1238 Seymour Street	"$728,000"	1	1	Built in 1996 (24 yrs old)	"$2,273"	$302	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Upper Unit																	
917 68 Smithe Street	"$639,000"	1	1	Built in 2016 (4 yrs old)	"$1,685"	$272	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Upper Unit																	
1107 989 Nelson Street	"$749,900"	2	2	Built in 1995 (25 yrs old)	"$2,115"	$547	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Corner Unit																	
701 989 Nelson Street	"$639,000"	1	1	Built in 1995 (25 yrs old)	"$1,117"	$407	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Corner Unit																	
1606 1188 Howe Street	"$550,000"	1	1	Built in 1994 (26 yrs old)	"$1,394"	$291	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Inside Unit																	
1708 1283 Howe Street	"$619,000"	1	1	Built in 2019 (1 yrs old)	"$1,720"	$254	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	1 Storey																	
2008 777 Richards Street	"$699,000"	1	1	Built in 2016 (4 yrs old)	"$2,016"	$433	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Inside Unit																	
2402 128 W Cordova Street	"$979,000"	2	2	Built in 2009 (11 yrs old)	"$2,879"	$677	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Upper Unit																	
704 989 Nelson Street	"$625,000"	2	1	Built in 1995 (25 yrs old)	"$1,459"	$425	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Upper Unit																	
1505 1255 Seymour Street	"$610,000"	1	1	Built in 2008 (12 yrs old)	"$1,545"	$344	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Upper Unit																	
1401 1205 Howe Street	"$1,448,000"	2	2	Built in 2010 (10 yrs old)	"$3,961"	$725	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Upper Unit																	
1806 128 W Cordova Street	"$999,999"	2	2	Built in 2009 (11 yrs old)	"$3,012"	$714	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	Corner Unit																	
505 788 Hamilton Street	"$670,000"	1	1	Built in 2009 (11 yrs old)	"$1,738"	$300	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	"1 Storey,Inside Unit"																	
505 788 Hamilton Street	"$670,000"	1	1	Built in 2009 (11 yrs old)	"$1,738"	$300	Vancouver West	Downtown West	Apt/Condo	Freehold Strata	"1 Storey,Inside Unit"																	
1339 W 7th Avenue	"$1,269,900"	2	3	Built in 1994 (26 yrs old)	"$2,992"	$707	Vancouver West	Fairview	Townhouse	Freehold Strata	2 Storey																	
301 929 W 16th Avenue	"$899,900"	3	2	Built in 1996 (24 yrs old)	"$2,280"	$514	Vancouver West	Fairview	Apt/Condo	Freehold Strata	"Corner Unit,End Unit,Upper Unit"																	
731 W 17th Avenue	"$3,838,000"	4	8	33 ft x 122 ft (4019 ft²)	Built in 2018 (2 yrs old)	"$10,195"	Vancouver West	Fairview	House	Freehold NonStrata	2 Storey w/Bsmt.																	
7 939 W 7th Avenue	"$799,900"	2	2	Built in 1987 (33 yrs old)	"$1,731"	$312	Vancouver West	Fairview	Apt/Condo	Freehold Strata	1 Storey																	
844 W 7th Avenue	"$1,399,000"	3	2	Built in 1980 (40 yrs old)	"$3,484"	$446	Vancouver West	Fairview	Townhouse	Freehold Strata	3 Storey																	
301 929 W 16th Avenue	"$899,900"	3	2	Built in 1996 (24 yrs old)	"$2,280"	$514	Vancouver West	Fairview	Apt/Condo	Freehold Strata	"Corner Unit,End Unit,Upper Unit"																	
306 1250 W 12th Avenue	"$578,000"	1	1	Built in 1976 (44 yrs old)	"$1,305"	$354	Vancouver West	Fairview	Apt/Condo	Freehold Strata	Corner Unit																	
11 1266 W 6th Avenue	"$829,000"	2	2	Built in 1983 (37 yrs old)	"$2,283"	$419	Vancouver West	Fairview	Townhouse	Freehold Strata	"2 Storey,Inside Unit"																	
802 1355 W Broadway	"$2,198,000"	2	2	Built in 1989 (31 yrs old)	"$4,837"	$843	Vancouver West	Fairview	Apt/Condo	Freehold Strata	Corner Unit																	
404 1633 W 8th Avenue	"$629,000"	1	1	Built in 1994 (26 yrs old)	"$1,627"	$334	Vancouver West	Fairview	Apt/Condo	Freehold Strata	"Inside Unit,Other"																	
1783 W 16th Avenue	"$1,450,000"	3	2	Built in 2020 (0 yrs old)	"$1,000"	$294	Vancouver West	Fairview	Townhouse	Freehold Strata	2 Storey																	
305 555 W 14th Avenue	"$749,800"	2	1	Built in 1984 (36 yrs old)	"$1,951"	$329	Vancouver West	Fairview	Apt/Condo	Freehold Strata	Upper Unit																	
1110 W 15th Avenue	"$1,998,000"	3	2	0 ft²	Built in 2020 (0 yrs old)	$0	$0	Vancouver West	Fairview	Duplex	Freehold Strata																	
1112 W 15th Avenue	"$2,198,000"	3	3	0 ft²	Built in 2020 (0 yrs old)	$0	$0	Vancouver West	Fairview	Duplex	Freehold Strata																	
1339 W 7th Avenue	"$1,269,900"	2	3	Built in 1994 (26 yrs old)	"$2,992"	$707	Vancouver West	Fairview	Townhouse	Freehold Strata	2 Storey																	
309 1476 W 10th Avenue	"$549,900"	1	1	Built in 1981 (39 yrs old)	"$1,401"	$264	Vancouver West	Fairview	Apt/Condo	Freehold Strata	1 Storey																	
212 1045 W 8th Avenue	"$699,000"	2	1	Built in 1986 (34 yrs old)	"$1,365"	$293	Vancouver West	Fairview	Apt/Condo	Freehold Strata	2 Storey																	
403 1690 W 8th Avenue	"$778,000"	1	1	Built in 2008 (12 yrs old)	"$2,150"	$351	Vancouver West	Fairview	Apt/Condo	Freehold Strata	1 Storey																	
1101 1633 W 8th Avenue	"$848,800"	2	2	Built in 1993 (27 yrs old)	"$2,449"	$474	Vancouver West	Fairview	Apt/Condo	Freehold Strata	Upper Unit																	
3188 Burrard Street	"$1,599,000"	2	3	Built in 2020 (0 yrs old)	"$1,000"	$319	Vancouver West	Fairview	Townhouse	Freehold Strata	2 Storey																	
408 503 W 16th Avenue	"$1,150,000"	3	2	Built in 1993 (27 yrs old)	"$2,961"	$546	Vancouver West	Fairview	Apt/Condo	Freehold Strata	1 Storey																	
301 929 W 16th Avenue	"$899,900"	3	2	Built in 1996 (24 yrs old)	"$2,280"	$514	Vancouver West	Fairview	Apt/Condo	Freehold Strata	"Corner Unit,End Unit,Upper Unit"																	
900 1235 W Broadway	"$2,680,000"	3	3	Built in 1989 (31 yrs old)	"$6,381"	$986	Vancouver West	Fairview	Apt/Condo	Freehold Strata	Penthouse																	
104 1445 Marpole Avenue	"$469,000"	1	1	Built in 1952 (68 yrs old)	"$1,198"	$265	Vancouver West	Fairview	Apt/Condo	Freehold Strata	Inside Unit																	
Ph 401 2968 Birch Street	"$5,580,000"	3	3	Built in 2020 (0 yrs old)	$0	"$2,582"	Vancouver West	Fairview	Apt/Condo	Freehold Strata	"1 Storey,Penthouse"																	
301 2968 Birch Street	"$3,565,000"	2	3	Built in 2020 (0 yrs old)	$0	"$1,765"	Vancouver West	Fairview	Apt/Condo	Freehold Strata	1 Storey																	
201 2968 Birch Street	"$3,487,500"	2	3	Built in 2020 (0 yrs old)	$0	"$1,765"	Vancouver West	Fairview	Apt/Condo	Freehold Strata	1 Storey																	
101 2968 Birch Street	"$3,366,000"	2	3	Built in 2020 (0 yrs old)	$0	"$1,709"	Vancouver West	Fairview	Apt/Condo	Freehold Strata	1 Storey																	
301 1510 W 6th Avenue	"$2,588,000"	3	3	Built in 2018 (2 yrs old)	"$6,562"	"$1,732"	Vancouver West	Fairview	Apt/Condo	Freehold Strata	1 Storey																	
1553 W 8th Avenue	"$1,599,900"	2	2	Built in 2018 (2 yrs old)	"$3,947"	$636	Vancouver West	Fairview	Townhouse	Freehold Strata	"1 Storey,Ground Level Unit"																	
900 1235 W Broadway	"$2,680,000"	3	3	Built in 1989 (31 yrs old)	"$6,381"	$986	Vancouver West	Fairview	Apt/Condo	Freehold Strata	Penthouse																	
201 977 W 8th Avenue	"$2,850,000"	2	2	Built in 2007 (13 yrs old)	"$6,902"	"$1,442"	Vancouver West	Fairview	Apt/Condo	Freehold Strata	"1 Storey,End Unit"																	
8 1040 W 7th Avenue	"$1,439,000"	2	3	Built in 1981 (39 yrs old)	"$3,716"	$462	Vancouver West	Fairview	Townhouse	Freehold Strata	3 Storey																	
407 1575 W 10th Avenue	"$728,000"	1	1	Built in 1997 (23 yrs old)	"$1,571"	$364	Vancouver West	Fairview	Apt/Condo	Leasehold prepaid-Strata	"Inside Unit,Upper Unit"																	
900 1570 W 7th Avenue	"$948,000"	2	2	Built in 2003 (17 yrs old)	"$2,738"	$490	Vancouver West	Fairview	Apt/Condo	Freehold Strata	Corner Unit																	
1108 W 15th Avenue	"$2,980,000"	4	3	66 ft x 101 ft (6705 ft²)	Built in 2020 (0 yrs old)	$0	$0	Vancouver West	Fairview	House	Freehold Strata																	
12 2366 Birch Street	"$1,869,900"	2	1	Built in 2021 (-1 yrs old)	$0	$438	Vancouver West	Fairview	Townhouse	Freehold Strata	"Penthouse,Reverse 2 Storey"																	
5 2366 Birch Street	"$2,799,900"	3	3	Built in 2021 (-1 yrs old)	$0	$445	Vancouver West	Fairview	Townhouse	Freehold Strata	"Penthouse,Reverse 2 Storey"																	
6 877 W 7th Avenue	"$618,000"	1	1	Built in 1986 (34 yrs old)	"$1,808"	$344	Vancouver West	Fairview	Townhouse	Freehold Strata	2 Storey																	
3 2368 Laurel Street	"$865,000"	2	2	Built in 1992 (28 yrs old)	"$2,408"	$439	Vancouver West	Fairview	Townhouse	Freehold Strata	1 Storey																	
201 1551 W 11th Avenue	"$549,900"	1	1	Built in 1980 (40 yrs old)	"$1,524"	$332	Vancouver West	Fairview	Apt/Condo	Freehold Strata	1 Storey																	
107 503 W 16 Avenue	"$1,199,000"	3	2	Built in 1993 (27 yrs old)	"$2,446"	$576	Vancouver West	Fairview	Apt/Condo	Freehold Strata	"End Unit,Ground Level Unit"																	
F7 1100 W 6th Avenue	"$799,000"	2	2	Built in 1983 (37 yrs old)	"$2,217"	$373	Vancouver West	Fairview	Townhouse	Freehold Strata	"Corner Unit,Reverse 2 Storey"																	
506 181 W 1st Avenue	"$1,478,888"	2	2	Built in 2010 (10 yrs old)	"$3,616"	$774	Vancouver West	False Creek	Apt/Condo	Freehold Strata	Upper Unit																	
308 445 W 2nd Avenue	"$768,000"	1	1	Built in 2012 (8 yrs old)	"$1,963"	$395	Vancouver West	False Creek	Apt/Condo	Freehold Strata	Upper Unit																	
1005 1450 Pennyfarthing Drive	"$1,275,000"	2	2	Built in 1983 (37 yrs old)	"$3,209"	$634	Vancouver West	False Creek	Apt/Condo	Freehold Strata	"1 Storey,Inside Unit"																	
1107 159 W 2nd Avenue	"$1,200,000"	2	2	Built in 2017 (3 yrs old)	"$2,960"	$559	Vancouver West	False Creek	Apt/Condo	Freehold Strata	"1 Storey,Upper Unit"																	
506 181 W 1st Avenue	"$1,478,888"	2	2	Built in 2010 (10 yrs old)	"$3,616"	$774	Vancouver West	False Creek	Apt/Condo	Freehold Strata	Upper Unit																	
801 1783 Manitoba Street	"$739,000"	1	1	Built in 2015 (5 yrs old)	"$2,101"	$460	Vancouver West	False Creek	Apt/Condo	Freehold Strata	Upper Unit																	
401 1635 W 3rd Avenue	"$563,800"	0	1	Built in 2010 (10 yrs old)	"$1,615"	$240	Vancouver West	False Creek	Apt/Condo	Freehold Strata	Upper Unit																	
319 1783 Manitoba Street	"$1,088,000"	2	2	Built in 2015 (5 yrs old)	"$2,905"	$650	Vancouver West	False Creek	Apt/Condo	Freehold Strata	Corner Unit																	
356 168 W 1st Avenue	"$715,000"	1	1	Built in 2013 (7 yrs old)	"$1,984"	$330	Vancouver West	False Creek	Apt/Condo	Freehold Strata	1 Storey																	
303 673 Market Hill	"$825,000"	2	2	Built in 1978 (42 yrs old)	"$2,768"	$515	Vancouver West	False Creek	Townhouse	Leasehold prepaid-Strata	3 Storey																	
906 1788 Columbia Street	"$699,900"	1	1	Built in 2018 (2 yrs old)	"$1,802"	$379	Vancouver West	False Creek	Apt/Condo	Freehold Strata	Upper Unit																	
210 1680 W 4th Avenue	"$929,000"	2	2	Built in 2009 (11 yrs old)	"$2,376"	$553	Vancouver West	False Creek	Apt/Condo	Freehold Strata	Upper Unit																	
10 1425 Lamey's Mill Road	"$679,000"	2	2	Built in 1983 (37 yrs old)	"$1,501"	$625	Vancouver West	False Creek	Apt/Condo	Leasehold prepaid-Strata	"1 Storey,Ground Level Unit"																	
108 1859 Spyglass Place	"$699,000"	1	1	Built in 1989 (31 yrs old)	"$1,832"	$395	Vancouver West	False Creek	Apt/Condo	Freehold Strata	"1 Storey,Ground Level Unit"																	
710 38 W 1st Avenue	"$999,000"	2	2	Built in 2015 (5 yrs old)	"$2,853"	$670	Vancouver West	False Creek	Apt/Condo	Freehold Strata	Corner Unit																	
1001 1633 Ontario Street	"$6,800,000"	3	4	Built in 2009 (11 yrs old)	"$16,906"	"$1,726"	Vancouver West	False Creek	Apt/Condo	Freehold Strata	1 Storey																	
76 1425 Lamey's Mill Road	"$585,000"	1	1	Built in 1983 (37 yrs old)	"$1,597"	$479	Vancouver West	False Creek	Apt/Condo	Leasehold prepaid-Strata	2 Storey																	
902 1887 Crowe Street	"$1,079,900"	2	2	Built in 2011 (9 yrs old)	"$2,867"	$615	Vancouver West	False Creek	Apt/Condo	Freehold Strata	Corner Unit																	
310 181 W 1st Avenue	"$1,128,000"	2	2	Built in 2010 (10 yrs old)	"$2,893"	$700	Vancouver West	False Creek	Apt/Condo	Freehold Strata	"Corner Unit,End Unit"																	
506 181 W 1st Avenue	"$1,478,888"	2	2	Built in 2010 (10 yrs old)	"$3,616"	$774	Vancouver West	False Creek	Apt/Condo	Freehold Strata	Upper Unit																	
304 1630 W 1st Avenue	"$899,000"	2	2	Built in 1996 (24 yrs old)	"$2,525"	$552	Vancouver West	False Creek	Apt/Condo	Freehold Strata	Inside Unit																	
810 1661 Ontario Street	"$969,000"	2	1	Built in 2010 (10 yrs old)	"$2,853"	$527	Vancouver West	False Creek	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
501 181 W 1st Avenue	"$778,000"	1	1	Built in 2010 (10 yrs old)	"$2,156"	$507	Vancouver West	False Creek	Apt/Condo	Freehold Strata	Inside Unit																	
203 88 W 1st Avenue	"$659,000"	1	1	Built in 2015 (5 yrs old)	"$1,744"	$408	Vancouver West	False Creek	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
604 88 W 1st Avenue	"$1,199,000"	2	2	Built in 2015 (5 yrs old)	"$3,166"	$745	Vancouver West	False Creek	Apt/Condo	Freehold Strata	1 Storey																	
214 1477 Fountain Way	"$1,050,000"	3	3	Built in 1982 (38 yrs old)	"$3,572"	$682	Vancouver West	False Creek	Townhouse	Leasehold prepaid-Strata	3 Storey																	
705 38 W 1st Avenue	"$649,000"	1	1	Built in 2015 (5 yrs old)	"$1,773"	$393	Vancouver West	False Creek	Apt/Condo	Freehold Strata	1 Storey																	
707 123 W 1st Avenue	"$688,000"	1	1	Built in 2010 (10 yrs old)	"$1,679"	$431	Vancouver West	False Creek	Apt/Condo	Freehold Strata	"Inside Unit,Upper Unit"																	
1401 1661 Ontario Street	"$5,256,000"	3	4	Built in 2010 (10 yrs old)	"$11,487"	"$1,412"	Vancouver West	False Creek	Apt/Condo	Freehold Strata	"Corner Unit,Penthouse"																	
197 Walter Hardwick Avenue	"$975,000"	0	1	Built in 2010 (10 yrs old)	"$1,673"	$233	Vancouver West	False Creek	Apt/Condo	Freehold Strata	Inside Unit																	
205 181 W 1st Avenue	"$2,525,000"	2	2	Built in 2010 (10 yrs old)	"$3,099"	$536	Vancouver West	False Creek	Apt/Condo	Freehold Strata	Inside Unit																	
905 1633 Ontario Street	"$4,725,000"	3	3	Built in 2010 (10 yrs old)	"$5,596"	$919	Vancouver West	False Creek	Apt/Condo	Freehold Strata	Inside Unit																	
104 181 W 1st Avenue	"$2,425,000"	2	2	Built in 2010 (10 yrs old)	"$3,341"	$514	Vancouver West	False Creek	Apt/Condo	Freehold Strata	Inside Unit																	
72 W 1st Avenue	"$1,099,000"	2	3	Built in 2015 (5 yrs old)	"$3,076"	$800	Vancouver West	False Creek	Townhouse	Freehold Strata	2 Storey																	
203 1562 W 5th Avenue	"$538,000"	1	1	Built in 1995 (25 yrs old)	"$1,410"	$356	Vancouver West	False Creek	Apt/Condo	Freehold Strata	1 Storey																	
901 1887 Crowe Street	"$995,000"	2	2	Built in 2011 (9 yrs old)	"$2,610"	$633	Vancouver West	False Creek	Apt/Condo	Freehold Strata	"1 Storey,Upper Unit"																	
201 181 Athletes Way	"$4,998,000"	2	3	Built in 2010 (10 yrs old)	"$12,963"	"$1,709"	Vancouver West	False Creek	Apt/Condo	Freehold Strata	"Inside Unit,Upper Unit"																	
302 38 W 1st Avenue	"$859,900"	2	2	Built in 2015 (5 yrs old)	"$2,604"	$624	Vancouver West	False Creek	Apt/Condo	Freehold Strata	"1 Storey,Corner Unit"																	
904 1450 Pennyfarthing Drive	"$1,175,000"	2	2	Built in 1984 (36 yrs old)	"$3,166"	$693	Vancouver West	False Creek	Apt/Condo	Freehold Strata	"1 Storey,Inside Unit"																	
503 123 W 1st Avenue	"$649,000"	1	1	Built in 2010 (10 yrs old)	"$1,653"	$431	Vancouver West	False Creek	Apt/Condo	Freehold Strata	Inside Unit																	
2935 W 27th Avenue	"$3,499,000"	3	2	60 ft x 130 ft (6731 ft²)	Built in 1944 (76 yrs old)	"$11,905"	Vancouver West	MacKenzie Heights	House	Freehold NonStrata	1 1/2 Storey																	
3250 W 36th Avenue	"$3,980,000"	7	4	50 ft x 130 ft (6513 ft²)	Built in 1929 (91 yrs old)	"$10,208"	Vancouver West	MacKenzie Heights	House	Freehold NonStrata	3 Storey																	
3242 W 29th Avenue	"$3,189,000"	5	3	40 ft x 130 ft (5200 ft²)	Built in 1967 (53 yrs old)	"$9,148"	Vancouver West	MacKenzie Heights	House	Freehold NonStrata	2 Storey																	
2606 W 35th Avenue	"$4,680,000"	5	4	60 ft x 134 ft (8040 ft²)	Built in 1976 (44 yrs old)	"$12,636"	Vancouver West	MacKenzie Heights	House	Freehold NonStrata	2 Storey w/Bsmt.																	
4910 Blenheim Street	"$4,988,000"	8	8	56 ft x 122 ft (6832 ft²)	Built in 2014 (6 yrs old)	"$13,684"	Vancouver West	MacKenzie Heights	House	Freehold NonStrata	2 Storey w/Bsmt.																	
3206 W 32nd Avenue	"$3,688,000"	4	4	33 ft x 130 ft (4394 ft²)	Built in 2008 (12 yrs old)	"$9,723"	Vancouver West	MacKenzie Heights	House	Freehold NonStrata	2 Storey w/Bsmt.																	
