address,price,bedrooms,bath,lot_size,property_age,gross_tax_for_2020,area,Sub-Area/Community,Property_Type,title,style,heating_type,Depth,frontage,,,,,,,,,,,,,,
6311 Larch Street,"$6,880,000",5,7,66 ft x 135 ft (8953 ft²),Built in 2020 (0 yrs old),"$14,150",Vancouver West,Kerrisdale,House,Freehold NonStrata,2 Storey w/Bsmt.,135.65,66.00 feet,R2463359,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307 1477 W Pender Street,"$969,000",1,1,Built in 2011 (9 yrs old),"$2,390",$587,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,"Live/Work Studio,Upper Unit",R2517033,Marjan Mazaheri PREC*,Coldwell Banker Prestige Realty,,,,,,,,,,,,,,
701 1409 W Pender Street,"$4,488,000",3,3,Built in 2011 (9 yrs old),"$9,096","$1,618",Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,Corner Unit,R2523328,Kiarash Kalhor,Royal Pacific Realty Corp.,,,,,,,,,,,,,,
3105 1239 W Georgia Street,"$1,698,000",3,3,Built in 1999 (21 yrs old),"$4,292",$920,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,Corner Unit,R2522529,Haneef Virani PREC*,Virani Real Estate Advisors,,,,,,,,,,,,,,
503 1499 W Pender Street,"$1,465,000",2,3,Built in 2011 (9 yrs old),"$3,862",$870,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,"2 Storey,Corner Unit",R2521995,Navid Hakimi PREC*,RE/MAX Masters Realty,,,,,,,,,,,,,,
1901 1499 W Pender Street,"$1,999,900",2,2,Built in 2011 (9 yrs old),"$5,632",$944,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,"1 Storey,Upper Unit",R2521940,Danny Chow PREC*,Rennie & Associates Realty Ltd.,,,,,,,,,,,,,,
4307 1011 W Cordova Street,"$9,280,000",2,3,Built in 2010 (10 yrs old),"$40,311","$2,000",Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,1 Storey,R2520560,Edith Chan PREC*,RE/MAX Masters Realty,,,,,,,,,,,,,,
1904 1499 W Pender Street,"$1,598,800",2,3,Built in 2011 (9 yrs old),"$4,541",$911,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,"2 Storey,Corner Unit",R2520127,Iman Moghadam PREC*,RE/MAX Masters Realty,,,,,,,,,,,,,,
901 1790 Bayshore Drive,"$1,999,988",2,2,Built in 1997 (23 yrs old),"$4,737",$746,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,Corner Unit,R2520074,Shawn Anderson PREC*,Engel & Volkers Vancouver,,,,,,,,,,,,,,
1804 1205 W Hastings Street,"$1,988,000",2,2,Built in 2007 (13 yrs old),"$4,892","$1,016",Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2519741,Nancy Che PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
1305 620 Cardero Street,"$1,150,000",2,1,Built in 2020 (0 yrs old),$0,$470,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2519696,Kevin Lam,Oakwyn Realty Ltd.,,,,,,,,,,,,,,
1006 1189 Melville Street,"$799,999",1,1,Built in 2007 (13 yrs old),"$2,121",$495,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,Corner Unit,R2519341,Jasmine Botto PREC*,Royal LePage Sussex,,,,,,,,,,,,,,
2404 1077 W Cordova Street,"$2,880,000",2,2,Built in 2004 (16 yrs old),"$6,337",$816,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,"Corner Unit,Live/Work Studio",R2518139,Alice Rei Ho PREC*,Macdonald Realty,,,,,,,,,,,,,,
2203 620 Cardero Street,"$3,289,000",3,2,Built in 2020 (0 yrs old),"$5,244",$909,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,Other,R2517410,Mona Mirzaie,TRG The Residential Group Realty,,,,,,,,,,,,,,
502 Cardero Street,"$2,388,000",3,3,Built in 1997 (23 yrs old),"$7,756","$1,443",Vancouver West,Coal Harbour,Townhouse,Freehold Strata,2 Storey,R2517337,Salina Kai PREC*,Rennie & Associates Realty Ltd.,,,,,,,,,,,,,,
307 1477 W Pender Street,"$969,000",1,1,Built in 2011 (9 yrs old),"$2,390",$587,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,"Live/Work Studio,Upper Unit",R2517033,Marjan Mazaheri PREC*,Coldwell Banker Prestige Realty,,,,,,,,,,,,,,
1418 W Hastings Street,"$1,499,000",2,2,Built in 2002 (18 yrs old),"$2,476",$527,Vancouver West,Coal Harbour,Townhouse,Freehold Strata,"End Unit,Live/Work Studio",R2516052,Paige Hurford,Oakwyn Realty Ltd.,,,,,,,,,,,,,,
403 1205 W Hastings Street,"$2,368,000",2,2,Built in 2007 (13 yrs old),"$4,602",$933,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,Corner Unit,R2515272,Michelle Comens PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
1501 620 Cardero Street,"$3,699,000",3,3,Built in 2020 (0 yrs old),$0,$968,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,Corner Unit,R2515133,Jim Chen PREC*,YVR International Realty,,,,,,,,,,,,,,
1504 620 Cardero Street,"$918,000",1,1,Built in 2020 (0 yrs old),$0,$374,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,Inside Unit,R2514737,Tom Song PREC*,Royal Pacific Realty Corp.,,,,,,,,,,,,,,
804 1616 Bayshore Drive,"$1,680,000",2,2,Built in 2006 (14 yrs old),"$5,038",$774,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,Corner Unit,R2513677,Monica Xiong,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
4301 1189 Melville Street,"$8,880,000",4,6,Built in 2007 (13 yrs old),"$69,212","$3,441",Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,Penthouse,R2512418,Haneef Virani PREC*,Virani Real Estate Advisors,,,,,,,,,,,,,,
503 1499 W Pender Street,"$1,465,000",2,3,Built in 2011 (9 yrs old),"$3,862",$870,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,"2 Storey,Corner Unit",R2521995,Navid Hakimi PREC*,RE/MAX Masters Realty,,,,,,,,,,,,,,
2203 1188 W Pender Street,"$849,900",1,1,Built in 2008 (12 yrs old),"$2,420",$348,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,Other,R2511784,Milad Khavari PREC*,RE/MAX Masters Realty,,,,,,,,,,,,,,
607 323 Jervis Street,"$2,988,000",2,2,Built in 2002 (18 yrs old),"$6,495",$759,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,Corner Unit,R2510057,Amin Lahijani PREC*,Behroyan & Associates Real Estate Services,,,,,,,,,,,,,,
3403 1189 Melville Street,"$1,899,000",3,3,Built in 2007 (13 yrs old),"$6,565","$1,026",Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,1 Storey,R2507728,Haneef Virani PREC*,Virani Real Estate Advisors,,,,,,,,,,,,,,
3105 1211 Melville Street,"$1,409,000",2,2,Built in 2008 (12 yrs old),"$4,421",$646,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,"End Unit,Upper Unit",R2507706,Malcolm Hasman,"Angell, Hasman & Associates (Malcolm Hasman) Realty Ltd.",,,,,,,,,,,,,,
1807 1189 Melville Street,"$899,000",1,1,Built in 2007 (13 yrs old),"$2,212",$433,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,Upper Unit,R2506474,Kiarash Kalhor,Royal Pacific Realty Corp.,,,,,,,,,,,,,,
Th18 1281 W Cordova Street,"$4,388,000",3,3,Built in 2004 (16 yrs old),"$17,032",$0,Vancouver West,Coal Harbour,Townhouse,Freehold Strata,"3 Storey,Corner Unit",R2506731,Ken Cui PREC*,Nu Stream Realty Inc.,,,,,,,,,,,,,,
602 277 Thurlow Street,"$6,150,000",2,3,Built in 2012 (8 yrs old),"$23,613","$1,239",Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,Corner Unit,R2505927,Juliana Jiao PREC*,Macdonald Realty,,,,,,,,,,,,,,
602 620 Cardero Street,"$3,480,000",3,3,Built in 2020 (0 yrs old),"$5,862","$1,016",Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,Corner Unit,R2505313,Clarence Debelle PREC*,Royal Pacific Lions Gate Realty Ltd.,,,,,,,,,,,,,,
1603 1650 Bayshore Drive,"$3,299,000",2,3,Built in 2006 (14 yrs old),"$8,619","$1,180",Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,"Corner Unit,End Unit",R2502892,Shawn Anderson PREC*,Engel & Volkers Vancouver,,,,,,,,,,,,,,
404 1650 Bayshore Drive,"$2,379,000",2,2,Built in 2003 (17 yrs old),"$5,456",$946,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2497755,Lionel Lorence,RE/MAX Lionel Lorence,,,,,,,,,,,,,,
1202 1499 W Pender Street,"$2,488,000",2,3,Built in 2011 (9 yrs old),"$6,317","$1,201",Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2494814,Amir Hamzehali PREC*,Royal LePage Sussex,,,,,,,,,,,,,,
1202 1499 W Pender Street,"$2,488,000",2,3,Built in 2011 (9 yrs old),"$6,317","$1,201",Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2494814,Amir Hamzehali PREC*,Royal LePage Sussex,,,,,,,,,,,,,,
804 1790 Bayshore Drive,"$1,928,000",2,2,Built in 1997 (23 yrs old),"$4,643",$778,Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,Corner Unit,R2487929,Pouria Sadeghi PREC*,"Angell, Hasman & Associates Realty Ltd.",,,,,,,,,,,,,,
3002 1011 W Cordova Street,"$3,998,000",2,3,Built in 2010 (10 yrs old),"$12,401","$1,392",Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,Upper Unit,R2487400,Dave Jenkins,Behroyan & Associates Real Estate Services,,,,,,,,,,,,,,
3801 1211 Melville Street,"$8,980,000",2,4,Built in 2009 (11 yrs old),"$25,192","$1,913",Vancouver West,Coal Harbour,Apt/Condo,Freehold Strata,"2 Storey,Penthouse",R2487231,Malcolm Hasman,"Angell, Hasman & Associates (Malcolm Hasman) Realty Ltd.",,,,,,,,,,,,,,
1101 183 Keefer Place,"$699,900",2,1,Built in 1996 (24 yrs old),"$1,752",$427,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2522486,Cari Mai,Oakwyn Realty Ltd.,,,,,,,,,,,,,,
2603 188 Keefer Place,"$1,148,000",2,2,Built in 2009 (11 yrs old),"$2,785",$486,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Corner Unit,R2522068,Andreas Nystrom,RE/MAX Crest Realty,,,,,,,,,,,,,,
310 58 Keefer Place,"$688,000",1,1,Built in 2007 (13 yrs old),"$1,700",$311,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,"Corner Unit,Inside Unit",R2524506,Layla Yang PREC*,Dracco Pacific Realty,,,,,,,,,,,,,,
3102 1283 Howe Street,"$788,000",1,1,Built in 2018 (2 yrs old),"$2,121",$293,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Corner Unit,R2524130,Benson Lee PREC*,Nu Stream Realty Inc.,,,,,,,,,,,,,,
2101 1325 Rolston Street,"$899,000",2,2,Built in 2013 (7 yrs old),"$2,592",$469,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Corner Unit,R2524298,Shawn Brown PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
2508 777 Richards Street,"$699,000",1,1,Built in 2016 (4 yrs old),"$2,028",$433,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,"1 Storey,Upper Unit",R2523782,Michelle Yu PREC*,RE/MAX Real Estate Services,,,,,,,,,,,,,,
2404 1188 Howe Street,"$774,900",2,2,Built in 1994 (26 yrs old),"$2,232",$410,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Upper Unit,R2524047,Tanya Jakubec,Century 21 In Town Realty,,,,,,,,,,,,,,
1605 1308 Hornby Street,"$549,000",1,1,Built in 2014 (6 yrs old),"$1,595",$213,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Other,R2523789,Diane Wang PREC*,Royal Pacific Realty (Kingsway) Ltd.,,,,,,,,,,,,,,
5006 777 Richards Street,"$3,500,000",2,3,Built in 2016 (4 yrs old),"$7,221","$1,168",Vancouver West,Downtown West,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2523355,Jessi Johnson PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
3702 833 Seymour Street,"$1,999,000",2,2,Built in 2011 (9 yrs old),"$3,721",$753,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Corner Unit,R2523196,Amir Miri PREC*,Royal Pacific Realty Corp.,,,,,,,,,,,,,,
2003 999 Seymour Street,"$979,900",2,1,Built in 2014 (6 yrs old),"$2,270",$375,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,1 Storey,R2523044,Les Twarog,RE/MAX Crest Realty,,,,,,,,,,,,,,
3010 833 Seymour Street,"$675,000",1,1,Built in 2011 (9 yrs old),"$1,910",$316,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Upper Unit,R2522959,Katrina Amurao PREC*,RE/MAX 2000 Realty,,,,,,,,,,,,,,
2803 438 Seymour Street,"$808,888",2,2,Built in 1996 (24 yrs old),"$2,154",$522,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Upper Unit,R2522563,Mani Kahlon PREC*,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
2503 183 Keefer Place,"$998,000",2,2,Built in 1996 (24 yrs old),"$2,554",$565,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2522512,Paul Bale,Reign Realty,,,,,,,,,,,,,,
1101 183 Keefer Place,"$699,900",2,1,Built in 1996 (24 yrs old),"$1,752",$427,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2522486,Cari Mai,Oakwyn Realty Ltd.,,,,,,,,,,,,,,
301 1189 Howe Street,"$589,000",1,1,Built in 1999 (21 yrs old),"$1,448",$423,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Inside Unit,R2522409,Alec Abbott,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
802 789 Drake Street,"$699,000",1,1,Built in 1991 (29 yrs old),"$1,523",$389,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Corner Unit,R2522085,Robert Almeida PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
2603 188 Keefer Place,"$1,148,000",2,2,Built in 2009 (11 yrs old),"$2,785",$486,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Corner Unit,R2522068,Andreas Nystrom,RE/MAX Crest Realty,,,,,,,,,,,,,,
202 535 Smithe Street,"$789,000",1,1,Built in 2010 (10 yrs old),"$2,277",$359,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Other,R2522001,Edith Chan PREC*,RE/MAX Masters Realty,,,,,,,,,,,,,,
503 183 Keefer Place,"$649,000",1,1,Built in 1996 (24 yrs old),"$1,633",$420,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,1 Storey,R2522000,Paul Bale,Reign Realty,,,,,,,,,,,,,,
2207 999 Seymour Street,"$988,000",2,1,Built in 2015 (5 yrs old),"$2,297",$372,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Corner Unit,R2521915,Stella Price PREC*,SPG Realty,,,,,,,,,,,,,,
1302 1133 Hornby Street,"$1,020,000",2,2,Built in 2018 (2 yrs old),"$2,800",$439,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2521100,Jim Chen PREC*,YVR International Realty,,,,,,,,,,,,,,
2803 1189 Howe Street,"$1,199,000",3,2,Built in 2000 (20 yrs old),"$3,332",$806,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2517303,Sarah Kwan PREC*,eXp Realty,,,,,,,,,,,,,,
2603 188 Keefer Place,"$1,148,000",2,2,Built in 2009 (11 yrs old),"$2,785",$486,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Corner Unit,R2522068,Andreas Nystrom,RE/MAX Crest Realty,,,,,,,,,,,,,,
5006 777 Richards Street,"$3,500,000",2,3,Built in 2016 (4 yrs old),"$7,221","$1,168",Vancouver West,Downtown West,Apt/Condo,Freehold Strata,"1 Storey,Corner Unit",R2523355,Jessi Johnson PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
2001 183 Keefer Place,"$799,900",2,1,Built in 1996 (24 yrs old),"$1,831",$427,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,"Corner Unit,Upper Unit",R2521088,Paul Bale,Reign Realty,,,,,,,,,,,,,,
304 233 Abbott Street,"$549,000",0,1,Built in 1911 (109 yrs old),"$1,628",$330,Vancouver West,Downtown West,Townhouse,Freehold Strata,"Loft/Warehouse Conv.,Upper Unit",R2520786,Morgan Browne PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
1205 789 Drake Street,"$899,000",2,2,Built in 1991 (29 yrs old),"$1,881",$416,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,1 Storey,R2520464,Robert Almeida PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
1110 501 Pacific Street,"$579,000",0,1,Built in 1999 (21 yrs old),"$1,548",$337,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,"Inside Unit,Upper Unit",R2520128,Anthony Kuschak,Sutton Group-West Coast Realty,,,,,,,,,,,,,,
508 833 Homer Street,"$799,800",1,1,Built in 2010 (10 yrs old),"$2,045",$424,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,1 Storey,R2519947,Chris Harris PREC*,Macdonald Realty (Surrey/152),,,,,,,,,,,,,,
1107 1238 Seymour Street,"$728,000",1,1,Built in 1996 (24 yrs old),"$2,273",$302,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Upper Unit,R2519272,Brian Higgins PREC*,Prompton Real Estate Serv.Inc.,,,,,,,,,,,,,,
917 68 Smithe Street,"$639,000",1,1,Built in 2016 (4 yrs old),"$1,685",$272,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Upper Unit,R2519013,Michael Dong PREC*,Nu Stream Realty Inc.,,,,,,,,,,,,,,
1107 989 Nelson Street,"$749,900",2,2,Built in 1995 (25 yrs old),"$2,115",$547,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Corner Unit,R2518663,Ken Leong PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
701 989 Nelson Street,"$639,000",1,1,Built in 1995 (25 yrs old),"$1,117",$407,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Corner Unit,R2518629,Dimitri Phillos,RE/MAX City Realty,,,,,,,,,,,,,,
1606 1188 Howe Street,"$550,000",1,1,Built in 1994 (26 yrs old),"$1,394",$291,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Inside Unit,R2518152,Adam Wahed PREC*,RE/MAX All Points Realty,,,,,,,,,,,,,,
1708 1283 Howe Street,"$619,000",1,1,Built in 2019 (1 yrs old),"$1,720",$254,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,1 Storey,R2518179,Michael Stewart PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
2008 777 Richards Street,"$699,000",1,1,Built in 2016 (4 yrs old),"$2,016",$433,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Inside Unit,R2516516,Elaine Wu PREC*,LeHomes Realty Premier,,,,,,,,,,,,,,
2402 128 W Cordova Street,"$979,000",2,2,Built in 2009 (11 yrs old),"$2,879",$677,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Upper Unit,R2516450,Pansy Yeung PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
704 989 Nelson Street,"$625,000",2,1,Built in 1995 (25 yrs old),"$1,459",$425,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Upper Unit,R2514939,Michelle Comens PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
1505 1255 Seymour Street,"$610,000",1,1,Built in 2008 (12 yrs old),"$1,545",$344,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Upper Unit,R2514547,Janette Fricker PREC*,Rennie & Associates Realty Ltd.,,,,,,,,,,,,,,
1401 1205 Howe Street,"$1,448,000",2,2,Built in 2010 (10 yrs old),"$3,961",$725,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Upper Unit,R2514021,Andreas Nystrom,RE/MAX Crest Realty,,,,,,,,,,,,,,
1806 128 W Cordova Street,"$999,999",2,2,Built in 2009 (11 yrs old),"$3,012",$714,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,Corner Unit,R2513505,Dave Jenkins,Behroyan & Associates Real Estate Services,,,,,,,,,,,,,,
505 788 Hamilton Street,"$670,000",1,1,Built in 2009 (11 yrs old),"$1,738",$300,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,"1 Storey,Inside Unit",R2512181,Sherry Liu,RE/MAX Crest Realty,,,,,,,,,,,,,,
505 788 Hamilton Street,"$670,000",1,1,Built in 2009 (11 yrs old),"$1,738",$300,Vancouver West,Downtown West,Apt/Condo,Freehold Strata,"1 Storey,Inside Unit",R2512181,Sherry Liu,RE/MAX Crest Realty,,,,,,,,,,,,,,
1339 W 7th Avenue,"$1,269,900",2,3,Built in 1994 (26 yrs old),"$2,992",$707,Vancouver West,Fairview,Townhouse,Freehold Strata,2 Storey,R2517626,Blake Chancey PREC*,RE/MAX City Realty,,,,,,,,,,,,,,
301 929 W 16th Avenue,"$899,900",3,2,Built in 1996 (24 yrs old),"$2,280",$514,Vancouver West,Fairview,Apt/Condo,Freehold Strata,"Corner Unit,End Unit,Upper Unit",R2523490,Devon Owen PREC*,Royal Pacific Realty Corp.,,,,,,,,,,,,,,
731 W 17th Avenue,"$3,838,000",4,8,33 ft x 122 ft (4019 ft²),Built in 2018 (2 yrs old),"$10,195",Vancouver West,Fairview,House,Freehold NonStrata,2 Storey w/Bsmt.,122,33.00 feet,R2524785,,,,,,,,,,,,,,
7 939 W 7th Avenue,"$799,900",2,2,Built in 1987 (33 yrs old),"$1,731",$312,Vancouver West,Fairview,Apt/Condo,Freehold Strata,1 Storey,R2524336,Kelsie Struch PREC*,Stilhavn Real Estate Services,,,,,,,,,,,,,,
844 W 7th Avenue,"$1,399,000",3,2,Built in 1980 (40 yrs old),"$3,484",$446,Vancouver West,Fairview,Townhouse,Freehold Strata,3 Storey,R2523692,Matt Kerr PREC*,Stilhavn Real Estate Services,,,,,,,,,,,,,,
301 929 W 16th Avenue,"$899,900",3,2,Built in 1996 (24 yrs old),"$2,280",$514,Vancouver West,Fairview,Apt/Condo,Freehold Strata,"Corner Unit,End Unit,Upper Unit",R2523490,Devon Owen PREC*,Royal Pacific Realty Corp.,,,,,,,,,,,,,,
306 1250 W 12th Avenue,"$578,000",1,1,Built in 1976 (44 yrs old),"$1,305",$354,Vancouver West,Fairview,Apt/Condo,Freehold Strata,Corner Unit,R2522792,Andrew Hasman,RE/MAX Andrew Hasman,,,,,,,,,,,,,,
11 1266 W 6th Avenue,"$829,000",2,2,Built in 1983 (37 yrs old),"$2,283",$419,Vancouver West,Fairview,Townhouse,Freehold Strata,"2 Storey,Inside Unit",R2522633,Andrew Hasman,RE/MAX Andrew Hasman,,,,,,,,,,,,,,
802 1355 W Broadway,"$2,198,000",2,2,Built in 1989 (31 yrs old),"$4,837",$843,Vancouver West,Fairview,Apt/Condo,Freehold Strata,Corner Unit,R2521686,Jamie Clerkson,RE/MAX Select Properties,,,,,,,,,,,,,,
404 1633 W 8th Avenue,"$629,000",1,1,Built in 1994 (26 yrs old),"$1,627",$334,Vancouver West,Fairview,Apt/Condo,Freehold Strata,"Inside Unit,Other",R2519388,Maria Kritikos,Faith Wilson Group,,,,,,,,,,,,,,
1783 W 16th Avenue,"$1,450,000",3,2,Built in 2020 (0 yrs old),"$1,000",$294,Vancouver West,Fairview,Townhouse,Freehold Strata,2 Storey,R2518940,Ken Chong PREC*,Macdonald Realty,,,,,,,,,,,,,,
305 555 W 14th Avenue,"$749,800",2,1,Built in 1984 (36 yrs old),"$1,951",$329,Vancouver West,Fairview,Apt/Condo,Freehold Strata,Upper Unit,R2517760,Brandon Gee-Moore PREC*,RE/MAX Crest Realty,,,,,,,,,,,,,,
1110 W 15th Avenue,"$1,998,000",3,2,0 ft²,Built in 2020 (0 yrs old),$0,$0,Vancouver West,Fairview,Duplex,Freehold Strata,3 Storey,R2517748,Will McKitka,,,,,,,,,,,,,,
1112 W 15th Avenue,"$2,198,000",3,3,0 ft²,Built in 2020 (0 yrs old),$0,$0,Vancouver West,Fairview,Duplex,Freehold Strata,Reverse 2 Storey,R2517749,Will McKitka,,,,,,,,,,,,,,
1339 W 7th Avenue,"$1,269,900",2,3,Built in 1994 (26 yrs old),"$2,992",$707,Vancouver West,Fairview,Townhouse,Freehold Strata,2 Storey,R2517626,Blake Chancey PREC*,RE/MAX City Realty,,,,,,,,,,,,,,
309 1476 W 10th Avenue,"$549,900",1,1,Built in 1981 (39 yrs old),"$1,401",$264,Vancouver West,Fairview,Apt/Condo,Freehold Strata,1 Storey,R2516834,Tony Ioannou,Dexter Realty,,,,,,,,,,,,,,
212 1045 W 8th Avenue,"$699,000",2,1,Built in 1986 (34 yrs old),"$1,365",$293,Vancouver West,Fairview,Apt/Condo,Freehold Strata,2 Storey,R2515845,Morgan Browne PREC*,Oakwyn Realty Downtown Ltd.,,,,,,,,,,,,,,
403 1690 W 8th Avenue,"$778,000",1,1,Built in 2008 (12 yrs old),"$2,150",$351,Vancouver West,Fairview,Apt/Condo,Freehold Strata,1 Storey,R2514142,Karim Virani,Virani Real Estate Advisors,,,,,,,,,,,,,,
1101 1633 W 8th Avenue,"$848,800",2,2,Built in 1993 (27 yrs old),"$2,449",$474,Vancouver West,Fairview,Apt/Condo,Freehold Strata,Upper Unit,R2513432,Bev Thompson,RE/MAX Oceanview Realty,,,,,,,,,,,,,,
3188 Burrard Street,"$1,599,000",2,3,Built in 2020 (0 yrs old),"$1,000",$319,Vancouver West,Fairview,Townhouse,Freehold Strata,2 Storey,R2512017,James McKenny,Macdonald Realty,,,,,,,,,,,,,,
408 503 W 16th Avenue,"$1,150,000",3,2,Built in 1993 (27 yrs old),"$2,961",$546,Vancouver West,Fairview,Apt/Condo,Freehold Strata,1 Storey,R2511733,Faith Wilson,Faith Wilson Group,,,,,,,,,,,,,,
301 929 W 16th Avenue,"$899,900",3,2,Built in 1996 (24 yrs old),"$2,280",$514,Vancouver West,Fairview,Apt/Condo,Freehold Strata,"Corner Unit,End Unit,Upper Unit",R2523490,Devon Owen PREC*,Royal Pacific Realty Corp.,,,,,,,,,,,,,,
900 1235 W Broadway,"$2,680,000",3,3,Built in 1989 (31 yrs old),"$6,381",$986,Vancouver West,Fairview,Apt/Condo,Freehold Strata,Penthouse,R2499755,Charles Filer PREC*,Vancouver Luxury Realty,,,,,,,,,,,,,,
104 1445 Marpole Avenue,"$469,000",1,1,Built in 1952 (68 yrs old),"$1,198",$265,Vancouver West,Fairview,Apt/Condo,Freehold Strata,Inside Unit,R2510923,Stacey Davidson,RE/MAX Westcoast,,,,,,,,,,,,,,
